"","ecatalogue_key","irn","RegRegistrationNumber","Class","Order","Family","binomial","ScientificName","TypeStatus","Country","Locality","Extent_km","Certainty_Percent","Type","Notes","geometry"
"1",43442,1926907,"1881.7.2.3","Amphibia","Anura","Hylidae","Phyllomedusa_sauvagii","Phyllomedusa savagi","Cotypes","Argentina","Oran Salta, N.W. Argentina",3.78,75,"2.3","No match for Oran Salta, however there is a match for Oran, Salta Province in Argentina. Lat/long taken from the pin google maps automatically defines are the centre point. Extent is measured using the measure distance function from centre point to furthest outskirt of town as automatically defined by google maps (google helpfully draws a polygon that encompasses the given areas extent). Certainty of 75 as I cannot be sure that there isn't an Oran Salta elsewhere in N.W. Argentina ",c(-64.321654, -23.12886)
"2",43443,1926908,"1937.7.29.43","Amphibia","Anura","Hylidae","Phyllomedusa_sauvagii","Phyllomedusa savagi","Cotypes","Argentina","Oran Salta, N.W. Argentina",3.78,75,"2.3","No match for Oran Salta, however there is a match for Oran, Salta Province in Argentina. Lat/long taken from the pin google maps automatically defines are the centre point. Extent is measured using the measure distance function from centre point to furthest outskirt of town as automatically defined by google maps (google helpfully draws a polygon that encompasses the given areas extent). Certainty of 75 as I cannot be sure that there isn't an Oran Salta elsewhere in N.W. Argentina ",c(-64.321654, -23.12886)
"3",12516,1926915,"1898.11.24.6","Amphibia","Anura","Hylidae","Phyllomedusa_sauvagii","Phyllomedusa savagi","Type","Argentina","Santa Fe",444.76,50,"2.2","Santa Fe is a province of argentina, which also contains a city of the same name. Google maps centre point for Santa Fe Province is roughly 12km from the google maps centre of Santa Fe city. The furthest point of the province from the centre point is 444.76km to the N.N.E. if done by the google maps polygon.Reltively low certainty score as I cannot say which Santa Fe this is (however the provinical level does cover the whole of Santa Fe city).",c(-60.757894, -31.594026)
"4",35763,3633502,"1947.2.17.85","Amphibia","Anura","Leptodactylidae","Pleurodema_tucumanum","Pleurodema tucumana Parker, 1927","holotype","Argentina","Tapia, Tucuman",1.03,100,"2.3","Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches",c(-65.279069, -26.593805)
"5",80977,1949198,"1913.9.10.49-53","Amphibia","Anura","Leptodactylidae","Physalaemus_fernandezae","Physalaemus barbouri","Paratype","Argentina","La Plata",3.75,25,"2.3","la Plata appears to be a district within a larger town. Centre point determined by google maps, no pin was automatically dropped, however the name was placed centrally by google so this was used. Extent determined from googles auto generated polygon. Uncertainty is due to the fact that La Plata could extend much further if the surrounding suburban areas are included (or if La Plata has sprawlled and merged since data collection). ",c(-57.954098, -34.920672)
"6",35728,3633504,"1947.2.17.86-88","Amphibia","Anura","Leptodactylidae","Pleurodema_tucumanum","Pleurodema tucumana Parker, 1927","paratypes","Argentina","Tapia, Tucuman",1.03,100,"2.3","Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches",c(-65.279069, -26.593805)
"7",76941,1949535,"1902.7.29.72-74","Amphibia","Anura","Leptodactylidae","Pleurodema_tucumanum","Pleurodema tucumana Parker, 1927","Paratypes","Argentina","Tapia, Tucuman, 2300ft",2.61,100,"2.3","Ft converted to M using https://www.metric-conversions.org/, 701m matches altitudes in and around Tapia provided by google earth. Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road,as well as 700m altitude, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches",c(-65.279069, -26.593805)
"8",44364,3633512,"1947.2.17.94","Amphibia","Anura","Leptodactylidae","Pleurodema_bufoninum","Pleurodema bufonina Bell, 1843","syntype","Argentina","Port Desire | Port Desire, Patagonia",2.06,75,"2.3","Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. ",c(-65.901312, -47.751757)
"9",44371,3633510,"1947.2.17.93","Amphibia","Anura","Leptodactylidae","Pleurodema_bufoninum","Pleurodema bufonina Bell, 1843","syntype","Argentina","Port Desire | Port Desire, Patagonia",2.06,75,"2.3","Puerto deseado, a port town in patagonia (no english name given on google maps however the Spanish translates to Port Desire). Centre point taken from googles name placement, extent measured from there to the furthest point of the polygon google supplies. Uncertainty as no english given. ",c(-65.901312, -47.751757)
"10",86945,3633518,"1947.2.18.1","Amphibia","Anura","Leptodactylidae","Pleurodema_cinereum","Pleurodema cinerea Cope, 1877","syntype","Argentina","Tucuman | Tucuman",10.51,100,"2.3","Capital city of the provence of the same name in NW Argentina. Centre point taken from google maps name placement, extent measured from there to the furthest extreme of the polygone google provides. No name conflicts, so high certainty. ",c(-65.218705, -26.808679)
