ecatalogue_key,irn,RegRegistrationNumber,Class,Order,Family,UpdatedScientificName,ScientificName,TypeStatus,Country,Locality,Latitude,Longitude,Extent_km,Certainty_Percent,Type,Notes
43442,1926907,1881.7.2.3,Amphibia,Anura,Hylidae,Phyllomedusa sauvagii,Phyllomedusa savagi,Cotypes,Argentina,"Oran Salta, N.W. Argentina",-23.12886,-64.321654,3.78,75,2.3,"No match for Oran Salta, however there is a match for Oran, Salta Province in Argentina. Lat/long taken from the pin google maps automatically defines are the centre point. Extent is measured using the measure distance function from centre point to furthest outskirt of town as automatically defined by google maps (google helpfully draws a polygon that encompasses the given areas extent). Certainty of 75 as I cannot be sure that there isn't an Oran Salta elsewhere in N.W. Argentina "
43443,1926908,1937.7.29.43,Amphibia,Anura,Hylidae,Phyllomedusa sauvagii,Phyllomedusa savagi,Cotypes,Argentina,"Oran Salta, N.W. Argentina",-23.12886,-64.321654,3.78,75,2.3,"No match for Oran Salta, however there is a match for Oran, Salta Province in Argentina. Lat/long taken from the pin google maps automatically defines are the centre point. Extent is measured using the measure distance function from centre point to furthest outskirt of town as automatically defined by google maps (google helpfully draws a polygon that encompasses the given areas extent). Certainty of 75 as I cannot be sure that there isn't an Oran Salta elsewhere in N.W. Argentina "
12516,1926915,1898.11.24.6,Amphibia,Anura,Hylidae,Phyllomedusa sauvagii,Phyllomedusa savagi,Type,Argentina,Santa Fe,-31.594026,-60.757894,444.76,50,2.2,"Santa Fe is a province of argentina, which also contains a city of the same name. Google maps centre point for Santa Fe Province is roughly 12km from the google maps centre of Santa Fe city. The furthest point of the province from the centre point is 444.76km to the N.N.E. if done by the google maps polygon.Reltively low certainty score as I cannot say which Santa Fe this is (however the provinical level does cover the whole of Santa Fe city)."
80994,1927073,1889.3.19.21-22,Amphibia,Anura,Hylidae,Dendropsophus nanus,Sphaenorhynchus nana,Types,Argentina,Resistencia,,,,,,"several areas of same name, of which this spp occurs presently across all, so cannot narrow it down"
35763,3633502,1947.2.17.85,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",holotype,Argentina,"Tapia, Tucuman",-26.593805,-65.279069,1.03,100,2.3,"Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches"
80977,1949198,1913.9.10.49-53,Amphibia,Anura,Leptodactylidae,Physalaemus fernandezae,Physalaemus barbouri,Paratype,Argentina,La Plata,-34.920672,-57.954098,3.75,25,2.3,"la Plata appears to be a district within a larger town. Centre point determined by google maps, no pin was automatically dropped, however the name was placed centrally by google so this was used. Extent determined from googles auto generated polygon. Uncertainty is due to the fact that La Plata could extend much further if the surrounding suburban areas are included (or if La Plata has sprawlled and merged since data collection). "
35728,3633504,1947.2.17.86-88,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",paratypes,Argentina,"Tapia, Tucuman",-26.593805,-65.279069,1.03,100,2.3,"Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches"
36358,3633506,1947.2.17.89-90,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",paratypes,Argentina,"Laguna de Mabrias, Argentina",,,,,,No match. Image results and general googling point to potentially a lake in buenos aires province.
36845,3633508,1947.2.17.91-92,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",paratypes,Argentina,Los Basques,,,,,,No match. Potentially los bosques or related to los bosques in some way
76941,1949535,1902.7.29.72-74,Amphibia,Anura,Leptodactylidae,Pleurodema tucumanum,"Pleurodema tucumana Parker, 1927",Paratypes,Argentina,"Tapia, Tucuman, 2300ft",-26.593805,-65.279069,2.61,100,2.3,"Ft converted to M using https://www.metric-conversions.org/, 701m matches altitudes in and around Tapia provided by google earth. Tapia is a small town or village. Centre taken from google maps auto pin, extent determined to be to the furthest continuous building along the road,as well as 700m altitude, as no polygon given this time (Tapia exists on a road and only extends a single building back from it, but has a length of roughly 2km, hence extent being 1.03km). 100 certain this is the place as no other records of a Tapia have appeared in searches"
